nm_000015.3,9606.ensp00000286479
nm_005502.4,9606.ensp00000363868
nm_005157.6,9606.ensp00000361423
nm_020469.3,9606.ensp00000483018
nm_000665.5,9606.ensp00000303211
nm_001101.5,9606.ensp00000349960
nm_000022.4,9606.ensp00000361965
nm_001124.3,9606.ensp00000436607
nm_001618.4,9606.ensp00000355759
nm_000024.5,9606.ensp00000305372
nm_001136.5,9606.ensp00000364210
nm_000214.3,9606.ensp00000254958
nm_000029.4,9606.ensp00000302620
nm_000685.4,9606.ensp00000419422
nm_001621.5,9606.ensp00000242057
nm_001014431.2,9606.ensp00000451828
nm_000477.7,9606.ensp00000324292
nm_000690.4,9606.ensp00000261733
nm_001353765.1,9606.ensp00000373700
nm_000698.5,9606.ensp00000363512
nm_001146.5,9606.ensp00000428340
nm_000700.3,9606.ensp00000366109
nm_001002857.2,9606.ensp00000346032
nm_001154.4,9606.ensp00000296511
nm_000038.6,9606.ensp00000234071
nm_001244249.2,9606.ensp00000216714
nm_001167.3,9606.ensp00000360242
nm_001012270.2,9606.ensp00000301633
nm_000039.2,9606.ensp00000236850
nm_000384.3,9606.ensp00000233242
nm_000041.4,9606.ensp00000252486
nm_000484.4,9606.ensp00000284981
nm_000485.3,9606.ensp00000367615
nm_000043.6,9606.ensp00000347979
nm_000639.3,9606.ensp00000356694
nm_000044.6,9606.ensp00000285930
nm_000351.6,9606.ensp00000217961
nm_000051.3,9606.ensp00000278616
nm_001184.4,9606.ensp00000301945
nm_000489.5,9606.ensp00000362441
nm_000490.5,9606.ensp00000270139
nm_004048.3,9606.ensp00000452780
nm_001291428.2,9606.ensp00000293288
nm_053056.2,9606.ensp00000227507
nm_000633.2,9606.ensp00000381185
nm_001191.4,9606.ensp00000302564
nm_001130845.2,9606.ensp00000384371
nm_004327.4,9606.ensp00000303507
nm_001143805.1,9606.ensp00000414303
nm_005180.9,9606.ensp00000365851
nm_001200.4,9606.ensp00000368104
nm_001202.6,9606.ensp00000245451
nm_007294.3,9606.ensp00000418960
nm_001354609.2,9606.ensp00000288602
