drug hypersensitivity,nm_000015.3
neural tube defects,nm_000015.3
prostatic neoplasms,nm_000015.3
chemical and drug induced liver injury,nm_000015.3
atherosclerosis,nm_005502.4
hypercholesterolemia,nm_005502.4
hyperlipoproteinemia type ii,nm_005502.4
hypoalphalipoproteinemias,nm_005502.4
colorectal neoplasms,nm_005502.4
breast neoplasms,nm_005157.6
burkitt lymphoma,nm_005157.6
esophageal neoplasms,nm_005157.6
"heart defects, congenital",nm_005157.6
precancerous conditions,nm_005157.6
carcinogenesis,nm_005157.6
"mammary neoplasms, animal",nm_005157.6
alcoholism,nm_020469.3
coronary artery disease,nm_020469.3
duodenal ulcer,nm_020469.3
cerebral infarction,nm_020469.3
amyloidosis,nm_000665.5
breast neoplasms,nm_000665.5
"carcinoma, renal cell",nm_000665.5
alzheimer disease,nm_000665.5
nervous system diseases,nm_000665.5
dystonia,nm_001101.5
lung neoplasms,nm_001101.5
intellectual disability,nm_001101.5
severe combined immunodeficiency,nm_000022.4
glomerulonephritis,nm_001124.3
sepsis,nm_001124.3
anemia,nm_001618.4
asthma,nm_001618.4
atherosclerosis,nm_001618.4
colorectal neoplasms,nm_001618.4
dermatitis,nm_001618.4
hepatitis,nm_001618.4
melanoma,nm_001618.4
multiple myeloma,nm_001618.4
obesity,nm_001618.4
pneumonia,nm_001618.4
prostatic neoplasms,nm_001618.4
"mammary neoplasms, animal",nm_001618.4
"cardiomyopathy, dilated",nm_000024.5
hyperlipidemias,nm_000024.5
myocardial ischemia,nm_000024.5
cardiomyopathies,nm_000024.5
fibrosis,nm_000024.5
"arthritis, rheumatoid",nm_001136.5
atherosclerosis,nm_001136.5
diabetic angiopathies,nm_001136.5
hyperglycemia,nm_001136.5
breast neoplasms,nm_000214.3
cholestasis,nm_000214.3
craniosynostoses,nm_000214.3
glioblastoma,nm_000214.3
tetralogy of fallot,nm_000214.3
"mammary neoplasms, animal",nm_000214.3
alagille syndrome,nm_000214.3
aortic aneurysm,nm_000029.4
diabetic retinopathy,nm_000029.4
glomerulonephritis,nm_000029.4
"glomerulonephritis, iga",nm_000029.4
diabetic nephropathies,nm_000029.4
heart diseases,nm_000029.4
liver cirrhosis,nm_000029.4
pulmonary fibrosis,nm_000029.4
renal insufficiency,nm_000029.4
"hypertrophy, left ventricular",nm_000029.4
myocardial ischemia,nm_000029.4
"aortic aneurysm, abdominal",nm_000029.4
cardiovascular abnormalities,nm_000029.4
fibrosis,nm_000029.4
diabetic retinopathy,nm_000685.4
heart failure,nm_000685.4
neoplasm metastasis,nm_000685.4
"aortic aneurysm, abdominal",nm_000685.4
"arthritis, rheumatoid",nm_001621.5
atherosclerosis,nm_001621.5
neoplasms,nm_001621.5
"heart defects, congenital",nm_001621.5
"infertility, male",nm_001621.5
neoplasm metastasis,nm_001621.5
obesity,nm_001621.5
pneumonia,nm_001621.5
"mammary neoplasms, animal",nm_001621.5
neoplasms,nm_001014431.2
"carcinoma, squamous cell",nm_001014431.2
colorectal neoplasms,nm_001014431.2
epilepsy,nm_001014431.2
"hamartoma syndrome, multiple",nm_001014431.2
"leukemia, promyelocytic, acute",nm_001014431.2
lung neoplasms,nm_001014431.2
marijuana abuse,nm_001014431.2
meningioma,nm_001014431.2
obesity,nm_001014431.2
osteosarcoma,nm_001014431.2
skin neoplasms,nm_001014431.2
"lymphoma, t-cell",nm_001014431.2
proteus syndrome,nm_001014431.2
cardiomyopathies,nm_001014431.2
ovarian neoplasms,nm_001014431.2
"mammary neoplasms, animal",nm_001014431.2
fibrosis,nm_001014431.2
intellectual disability,nm_001014431.2
brain diseases,nm_000477.7
glomerulonephritis,nm_000477.7
"glomerulonephritis, membranous",nm_000477.7
diabetic nephropathies,nm_000477.7
heart failure,nm_000477.7
hepatitis,nm_000477.7
acute kidney injury,nm_000477.7
liver cirrhosis,nm_000477.7
nephrosis,nm_000477.7
nephrotic syndrome,nm_000477.7
cerebral infarction,nm_000477.7
"liver failure, acute",nm_000477.7
chemical and drug induced liver injury,nm_000477.7
fibrosis,nm_000477.7
alcoholism,nm_000690.4
alcoholic intoxication,nm_000690.4
asthma,nm_000690.4
alcohol-related disorders,nm_000690.4
korsakoff syndrome,nm_000690.4
alcoholism,nm_001353765.1
brain neoplasms,nm_001353765.1
"carcinoma, renal cell",nm_001353765.1
glioma,nm_001353765.1
melanoma,nm_001353765.1
neoplasm metastasis,nm_001353765.1
rhabdomyosarcoma,nm_001353765.1
"plasma cell granuloma, pulmonary",nm_001353765.1
inflammatory breast neoplasms,nm_001353765.1
adenoma,nm_000698.5
"arthritis, rheumatoid",nm_000698.5
atherosclerosis,nm_000698.5
colonic neoplasms,nm_000698.5
colonic polyps,nm_000698.5
"leukemia, myelogenous, chronic, bcr-abl positive",nm_000698.5
neoplasm metastasis,nm_000698.5
urticaria,nm_000698.5
sepsis,nm_001146.5
fibrosis,nm_001146.5
"carcinoma, squamous cell",nm_000700.3
lymphatic metastasis,nm_000700.3
"carcinoma, squamous cell",nm_001002857.2
"leukemia, myeloid, acute",nm_001002857.2
liver neoplasms,nm_001002857.2
lung neoplasms,nm_001002857.2
osteoporosis,nm_001002857.2
"carcinoma, squamous cell",nm_001154.4
"leukemia, myeloid, acute",nm_001154.4
neoplasms,nm_000038.6
gardner syndrome,nm_000038.6
gastrointestinal neoplasms,nm_000038.6
glioblastoma,nm_000038.6
hyperlipidemias,nm_000038.6
liver neoplasms,nm_000038.6
lung neoplasms,nm_000038.6
rectal neoplasms,nm_000038.6
hepatoblastoma,nm_000038.6
"fibromatosis, abdominal",nm_000038.6
adenomatous polyps,nm_000038.6
intestinal neoplasms,nm_000038.6
intellectual disability,nm_000038.6
melanoma,nm_001244249.2
esophageal neoplasms,nm_001167.3
lymphoproliferative disorders,nm_001167.3
ovarian neoplasms,nm_001167.3
adenocarcinoma,nm_001012270.2
breast neoplasms,nm_001012270.2
"carcinoma, renal cell",nm_001012270.2
"carcinoma, squamous cell",nm_001012270.2
colorectal neoplasms,nm_001012270.2
endometrial neoplasms,nm_001012270.2
"mammary neoplasms, animal",nm_001012270.2
hiv infections,nm_000039.2
hyperlipoproteinemia type ii,nm_000039.2
stomach neoplasms,nm_000039.2
cerebral infarction,nm_000039.2
hypoalphalipoproteinemias,nm_000039.2
diabetic cardiomyopathies,nm_000039.2
cardiovascular diseases,nm_000384.3
fatty liver,nm_000384.3
hyperlipidemias,nm_000384.3
hypertriglyceridemia,nm_000384.3
dyslipidemias,nm_000384.3
"hypobetalipoproteinemia, familial, apolipoprotein b",nm_000384.3
adenocarcinoma,nm_000041.4
carotid artery diseases,nm_000041.4
carotid stenosis,nm_000041.4
hepatolenticular degeneration,nm_000041.4
myocardial infarction,nm_000041.4
